instance_name,Algorithm,n_items_types,Bin_Length,Bin_Width,Total_Value,Num_Placed_Pieces,execution_time_s,peak_memory_mb
bazaar-10-10.txt,GRASP,10,10,10,1099,10,0.24100712700010263,65.84375
bazaar-10-10.txt,EDA,10,10,10,1340,11,0.5220556559997931,65.84375
bazaar-10-12.txt,GRASP,10,10,10,944,9,0.7183203570000387,65.84375
bazaar-10-12.txt,EDA,10,10,10,1124,10,0.8036446920000344,65.84375
bazaar-10-14.txt,GRASP,10,10,10,1062,10,0.2506698919999053,65.84375
bazaar-10-14.txt,EDA,10,10,10,1452,12,0.6208972869999343,65.84375
bazaar-10-16.txt,GRASP,10,10,10,1000,9,0.47054188700008126,65.84375
bazaar-10-16.txt,EDA,10,10,10,1300,10,1.0892338740000014,65.84375
bazaar-10-18.txt,GRASP,10,10,10,976,9,0.2507683829999223,65.84375
bazaar-10-18.txt,EDA,10,10,10,1376,12,0.5903153120000297,65.84375
bazaar-10-2.txt,GRASP,10,10,10,982,9,0.30222361099981754,65.84375
bazaar-10-2.txt,EDA,10,10,10,1194,11,1.1900732550000157,65.84375
bazaar-10-20.txt,GRASP,10,10,10,1102,10,0.4648410669999521,65.84375
bazaar-10-20.txt,EDA,10,10,10,1200,12,1.2326467650000268,65.84375
bazaar-10-22.txt,GRASP,10,10,10,1000,9,0.4042489110001952,65.84375
bazaar-10-22.txt,EDA,10,10,10,1360,13,0.8926006560000133,65.84375
bazaar-10-24.txt,GRASP,10,10,10,943,9,0.4638860930001556,65.84375
bazaar-10-24.txt,EDA,10,10,10,1163,11,0.7086026540000603,65.84375
bazaar-10-4.txt,GRASP,10,10,10,1033,10,0.24964634499997373,65.84375
bazaar-10-4.txt,EDA,10,10,10,1003,11,0.7176312049998614,65.84375
bazaar-10-6.txt,GRASP,10,10,10,1066,10,0.2557778150001013,65.84375
bazaar-10-6.txt,EDA,10,10,10,1406,12,0.4576396539998768,65.84375
bazaar-10-8.txt,GRASP,10,10,10,883,9,0.24318431999995482,65.84375
bazaar-10-8.txt,EDA,10,10,10,1113,10,0.8123618120000629,65.84375
bazaar-100-1.txt,GRASP,100,100,100,74918,72,89.86476877500013,65.84375
bazaar-100-1.txt,EDA,100,100,100,133536,71,49.57936307700015,67.6484375
bazaar-100-11.txt,GRASP,100,100,100,77076,66,85.50470128899997,67.6484375
bazaar-100-11.txt,EDA,100,100,100,128241,61,42.53298801700021,67.6484375
bazaar-100-13.txt,GRASP,100,100,100,76138,73,91.90705506300014,67.6484375
bazaar-100-13.txt,EDA,100,100,100,131821,65,53.15441325400002,67.6484375
bazaar-100-15.txt,GRASP,100,100,100,71229,68,84.62579653000012,67.6484375
bazaar-100-15.txt,EDA,100,100,100,137065,56,42.49074688499968,67.6484375
bazaar-100-17.txt,GRASP,100,100,100,71885,67,88.008971062,67.6484375
bazaar-100-17.txt,EDA,100,100,100,141529,68,38.15289218499993,67.6484375
bazaar-100-19.txt,GRASP,100,100,100,62399,73,92.23841943699972,67.6484375
bazaar-100-19.txt,EDA,100,100,100,139656,69,44.58868696399986,67.6484375
bazaar-100-22.txt,GRASP,100,100,100,74555,74,98.56772090899995,67.6484375
bazaar-100-22.txt,EDA,100,100,100,131920,59,60.08425353299981,67.6484375
bazaar-100-24.txt,GRASP,100,100,100,71311,71,91.93895571300027,67.6484375
bazaar-100-24.txt,EDA,100,100,100,119574,55,38.70222722100016,67.6484375
bazaar-100-3.txt,GRASP,100,100,100,67186,66,82.34674219299995,67.6484375
bazaar-100-3.txt,EDA,100,100,100,121894,71,54.01541395899994,67.6484375
bazaar-100-5.txt,GRASP,100,100,100,70231,73,92.55321745600031,67.6484375
bazaar-100-5.txt,EDA,100,100,100,130602,74,62.97202870399997,67.6484375
bazaar-100-7.txt,GRASP,100,100,100,71831,76,96.29465039699971,67.6484375
bazaar-100-7.txt,EDA,100,100,100,139215,58,51.650133063999874,67.6484375
bazaar-100-9.txt,GRASP,100,100,100,70133,76,94.68094208100001,67.6484375
bazaar-100-9.txt,EDA,100,100,100,128862,61,48.36725616199965,67.6484375
bazaar-20-1.txt,GRASP,20,20,20,3323,17,2.410198066999783,67.6484375
bazaar-20-1.txt,EDA,20,20,20,5174,23,3.0681434959997205,67.6484375
bazaar-20-11.txt,GRASP,20,20,20,3376,16,1.313949815000342,67.6484375
bazaar-20-11.txt,EDA,20,20,20,5147,18,2.883876837000116,67.6484375
