instance_name,Algorithm,n_items_types,Bin_Length,Bin_Width,Total_Value,Num_Placed_Pieces,execution_time_s,peak_memory_mb
bazaar-10-1.txt,GRASP,10,10,10,1062,10,0.1736604000034276,59.6875
bazaar-10-1.txt,EDA,10,10,10,1382,12,0.3793282999831717,59.8359375
bazaar-10-2.txt,GRASP,10,10,10,902,8,0.1670626000268384,59.859375
bazaar-10-2.txt,EDA,10,10,10,1104,12,0.3896669000096153,59.859375
bazaar-10-3.txt,GRASP,10,10,10,916,9,0.1609509999980218,59.86328125
bazaar-10-3.txt,EDA,10,10,10,1290,13,0.5215600999945309,59.86328125
bazaar-10-4.txt,GRASP,10,10,10,1033,10,0.1669460000121034,59.86328125
bazaar-10-4.txt,EDA,10,10,10,1063,11,0.3767407000123057,59.86328125
bazaar-10-5.txt,GRASP,10,10,10,1124,10,0.1671337999869138,59.86328125
bazaar-10-5.txt,EDA,10,10,10,1244,11,0.419480399985332,59.86328125
bazaar-10-6.txt,GRASP,10,10,10,1066,10,0.1658262999844737,59.86328125
bazaar-10-6.txt,EDA,10,10,10,1296,12,0.2983070999907795,59.86328125
bazaar-10-7.txt,GRASP,10,10,10,974,9,0.1701061000057961,59.86328125
bazaar-10-7.txt,EDA,10,10,10,1064,10,0.3864953000156674,59.86328125
bazaar-10-8.txt,GRASP,10,10,10,883,9,0.1658700999978464,59.86328125
bazaar-10-8.txt,EDA,10,10,10,1113,9,0.4314730000041891,59.86328125
bazaar-10-9.txt,GRASP,10,10,10,911,9,0.1731484000047203,59.86328125
bazaar-10-9.txt,EDA,10,10,10,1151,11,0.689435800013598,59.86328125
bazaar-10-10.txt,GRASP,10,10,10,919,9,0.1626904000004287,59.8359375
bazaar-10-10.txt,EDA,10,10,10,1428,12,0.3888561000057962,59.83984375
bazaar-10-11.txt,GRASP,10,10,10,1000,9,0.1575259999954141,59.83984375
bazaar-10-11.txt,EDA,10,10,10,1110,11,0.7636332999973092,59.83984375
bazaar-10-12.txt,GRASP,10,10,10,944,9,0.1638673999987077,59.83984375
bazaar-10-12.txt,EDA,10,10,10,1268,13,0.546462900005281,59.8515625
bazaar-10-13.txt,GRASP,10,10,10,1000,9,0.1793795999838039,59.8515625
